"","Phenotype_Name","Phenotype_Discription","Phenotype_Symptoms","Phenotype_Treatment","Phenotype_Age","Phenotype_Gender","Phenotype_Number"
"2421","Treacher Collins syndrome","Treacher Collins syndrome is a condition that affects the development of facial bones and tissue.","Depressed mood;Fatigue;Insomnia;Pain;Anxious mood","","<20;0;20s;1;30s;1;40s;1;50s;0;60s;0;70+;0","Female=33%;Male=67%",2421
"2422","Thoracic spondylosis","Thoracic Spondylosis is similar to spine arthritis. It is characterized by degenerative changes in the joints and discs of the vertebrae.  Common symptoms may include back stiffness and muscle weakness.","Pain;Depressed mood;Fatigue;Insomnia;Anxious mood","Gabapentin;Hydroxyzine;Amitriptyline;Armodafinil;Baclofen;Cannabidiol;Duloxetine;Electro Therapeutic Point Stimulation (ETPS);Hydrocodone-Acetaminophen;Oxycodone-acetaminophen","<20;0;20s;0;30s;2;40s;7;50s;5;60s;2;70+;0","Female=94%;Male=6%",2422
"2423","Multiple evanescent white dot syndrome (MEWDS)","Multiple Evanescent White Dot Syndrome (MEWDS) is a painless eye syndrome characterized by blurred vision, visual field loss, floaters. It is sometimes associated with a viral infection. No treatment is required and the symptoms will resolve. Some patients have some residual symptoms.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;0;60s;1;70+;0","Female=100%;Male=0%",2423
"2424","Pseudoaneurysm","A pseudoaneurysm occurs when the blood in the brain leaks outside the artery's wall. This may occur as a complication of an invasive cardiovascular procedure.","Pain;Anxious mood;Depressed mood;Fatigue;Insomnia","","<20;0;20s;0;30s;1;40s;0;50s;0;60s;0;70+;1","Female=100%;Male=0%",2424
"2425","Solitary kidney","Solitary kidney is a congenital finding in which a person only has one kidney and the other fails to develop.","Anxious mood;Depressed mood;Insomnia;Pain;Fatigue","","<20;0;20s;1;30s;2;40s;0;50s;2;60s;0;70+;0","Female=80%;Male=20%",2425
"2426","Pseudodementia","Pseudodementia is the combination of various cognitive deficits found in psychiatric disorders, especially depression; it is without the neurodegenerative component to dementia.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;1;50s;2;60s;1;70+;0","Female=50%;Male=50%",2426
"2427","Vagus nerve schwannoma","Schwannoma, also known as neurilemoma, is usually a benign nerve sheath (nerve covering) tumor composed of Schwann cells. The tumor can compress nearby nerves and causes pain, weakness, and decreased sensation.","Anxious mood;Fatigue;Pain;Depressed mood;Insomnia","","<20;0;20s;0;30s;0;40s;1;50s;0;60s;3;70+;0","Female=25%;Male=75%",2427
"2428","Familial thrombocytopenia","Familial thrombocytopenia is genetic platelet disorder with propensity to develop myeloid malignancies.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Hot bath with Epsom salts","<20;1;20s;0;30s;1;40s;0;50s;1;60s;0;70+;0","Female=33%;Male=67%",2428
"2429","Bladder fistula","A bladder fistula is the abnormal connection between the bladder and another organ or skin.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Colorectal resection surgery","<20;0;20s;0;30s;0;40s;1;50s;2;60s;0;70+;0","Female=100%;Male=0%",2429
"2430","Desquamative inflammatory vaginitis","Desquamative inflammatory vaginitis is the inflammation of the vagina, there are mixed theories about the cause of the condition, but, symptoms include purulent vaginal discharge, inflammation, and painful intercourse.","Anxious mood;Depressed mood;Pain;Fatigue;Insomnia","Cannabis","<20;0;20s;0;30s;1;40s;3;50s;1;60s;1;70+;0","Female=100%;Male=0%",2430
"2431","Gluteus medius tendon rupture","A tendon is fibrous tissue that attaches the muscle to the bone, the gluteus medius tendon is located at the buttocks-hip area. A rupture occurs when the tendon partially or completely tears. It is a disabling injury and may require treatment.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Diazepam;No treatments","<20;0;20s;0;30s;0;40s;0;50s;1;60s;2;70+;0","Female=100%;Male=0%",2431
"2432","Muscle tension dysphonia","Muscle tension dysphonia is characterized by difficulty speaking and hoarseness. It is caused by hyperfunctioning of the muscles involved in the production of voice and an imbalance of tension in the muscles. Vocal therapy can be beneficial.","Anxious mood;Fatigue;Pain;Insomnia;Depressed mood","Oxycodone","<20;0;20s;2;30s;1;40s;3;50s;4;60s;3;70+;0","Female=69%;Male=31%",2432
"2433","Reinke's edema","Reinke's edema is characterized by polypoid swelling of the vocal cords. It can be caused by smoking, overuse of the voice, or acid reflux. Stopping smoking is essential and can help prevent future changes. Treatment with laser therapy may be necessary to reduce the edema.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Medical marijuana","<20;0;20s;1;30s;0;40s;0;50s;1;60s;0;70+;0","Female=50%;Male=50%",2433
"2434","Myotonic muscular dystrophy II","Myotonic muscular dystrophy II (MMD2) is a chronic, slowly progressing, highly variable inherited multisystemic disease. It is characterized by wasting of the muscles (muscular dystrophy), cataracts, heart conduction defects, endocrine changes, and myotonia. Typically, onset is seen in adults.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;0;60s;0;70+;1","Female=100%;Male=0%",2434
"2435","Hand foot mouth disease","Hand-foot-and-mouth disease is characterized as a contagious viral infection caused by a coxsackievirus. It is a common infection in young children, symptoms include blisters, sores, a rash on the hands, feet and sometimes the bum and legs.","Anxious mood;Fatigue;Pain;Depressed mood;Insomnia","","<20;0;20s;2;30s;0;40s;0;50s;1;60s;0;70+;0","Female=100%;Male=0%",2435
"2436","Heterotopic ossification","Heterotopic ossification is the formation of bone into soft tissue where bone normally does not exist. This may occur with trauma, spinal cord injury, recent surgery, burns, or with certain chronic conditions.","Anxious mood;Fatigue;Insomnia;Pain;Depressed mood","","<20;0;20s;0;30s;1;40s;2;50s;1;60s;0;70+;2","Female=67%;Male=33%",2436
"2437","Mast cell activation syndrome","Mast cell activation syndrome (MCAS) is a disorder characterized by episodes of symptoms related to hyper-reactivity of mast cells. Symptoms vary but may include hot flushing, stomach pain or nausea, lightheadness, heart palpitations, and more. Treatment for MCAS is not well established.","Pain;Fatigue;Insomnia;Anxious mood;Depressed mood","Cetirizine;Zolpidem;
more
;Cromolyn sodium;
more
;Fexofenadine;Ranitidine;Ranitidine Prescription;Alprazolam;Bupropion;Buspirone;Cannabis","<20;2;20s;7;30s;11;40s;14;50s;13;60s;2;70+;1","Female=92%;Male=8%",2437
"2438","Optic nerve hypoplasia","The optic nerve exchanges visual information from the retina to the brain. Optic nerve hypoplasia is the underdevelopment of the optic nerves.","Anxious mood;Fatigue;Pain;Insomnia;Depressed mood","Hydrocodone-Acetaminophen;Neuromuscular Electrical Stimulation;Pregabalin","<20;0;20s;2;30s;1;40s;0;50s;0;60s;0;70+;0","Female=100%;Male=0%",2438
"2439","Trigeminal sensory neuropathy","Trigeminal sensory neuropathy is a disturbance in sensation in the skin or mucosal membranes along the pathway distribution of the trigeminal nerves.  Some symptoms may include weakness in the muscles of used for chewing, cheeks and tongue, and loss of taste.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;1;40s;1;50s;1;60s;2;70+;0","Female=60%;Male=40%",2439
"2440","Self defeating personality disorder","Personality disorders are long-term patterns of thoughts and behaviors that cause serious problems with relationships and work. Self defeating or masochistic personality disorder is characterized as avoidant of pleasurable experiences, and drawn to negative situations or relationships.","Depressed mood;Fatigue;Insomnia;Pain;Anxious mood","","<20;1;20s;1;30s;3;40s;1;50s;0;60s;1;70+;0","Female=100%;Male=0%",2440
"2441","Normocytic anemia","Normocytic anemia is a decrease in circulating red blood cells based on age and gender limits. It may be due to a decreased production of normal-sized red blood cells; an increased destruction or loss of red blood cells; or an overexpansion in plasma volume.","Fatigue;Depressed mood;Insomnia;Pain;Anxious mood","Duloxetine","<20;0;20s;1;30s;1;40s;0;50s;0;60s;0;70+;1","Female=33%;Male=67%",2441
"2442","Diaphragm paralysis","The diaphragm is a sheet of muscle that extends across the bottom of the rib cage, separating the chest cavity from the abdominal cavity and performs an important function in breathing (respiration). Paralysis of these muscles may occur with certain conditions, surgery, or trauma.","Anxious mood;Fatigue;Pain;Depressed mood;Insomnia","","<20;0;20s;0;30s;0;40s;0;50s;1;60s;0;70+;0","Female=100%;Male=0%",2442
"2443","Isodicentric chromosome 15 syndrome","Isodicentric chromosome 15 syndrome is a developmental disorder causing a range of signs and symptoms in those affected. Poor muscle tone is often seen. Intellectual disability can vary. Speech, behavior, hearing, and vision may also be affected, causing varying levels of disability.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;1;30s;0;40s;0;50s;0;60s;0;70+;0","Female=0%;Male=100%",2443
"2444","Cough variant asthma","Cough variant asthma is a type of asthma where the predominant symptom is a non-productive cough.  It may worsen following exercise, talking, laughing, or crying. Patients will typically respond to inhaled albuterol, iprotropium, or steroids.","Fatigue;Depressed mood;Insomnia;Pain;Anxious mood","Alprazolam;Cyclobenzaprine;Diclofenac;DL-Phenylalanine;Escitalopram;Hydrocodone-Acetaminophen;Medication Management;Melatonin;Pregabalin;
more
;Sertraline","<20;1;20s;6;30s;6;40s;14;50s;14;60s;6;70+;2","Female=76%;Male=24%",2444
"2445","Nightmare disorder","Nightmares are dream experiences that include anxiety or fear. The dream experience is very vivid and usually includes themes involving threats to survival, security, or self-esteem. Quite often there is a recurrence of the same or similar themes.","Anxious mood;Fatigue;Insomnia;Depressed mood;Pain","Clonazepam;Lorazepam;Trazodone;Clorazepate;Duloxetine;Ibuprofen;Lamotrigine;Lisdexamfetamine;Mirtazapine;Sertraline","<20;1;20s;1;30s;16;40s;11;50s;5;60s;6;70+;1","Female=59%;Male=41%",2445
"2446","Metathesiophobia","Metathesiophobia is the fear of change, it is a persistent, unrealistic, intense anxiety about and fear of new or different situations, circumstances, or objects.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Propranolol;
more
","<20;0;20s;0;30s;0;40s;2;50s;0;60s;0;70+;0","Female=50%;Male=50%",2446
"2447","Erythema elevatum diutinum","Erythema elevatum diutinum (EED) is a rare type of skin disorder characterized as raised papules or plaques with a skin discoloration of red, purple, brown or yellow. Some common areas EED is noted is on the backs of the hands, over joints, and on the buttocks.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;0;60s;1;70+;1","Female=50%;Male=50%",2447
"2448","Conduct disorder","Conduct disorder is a mental health condition characterized by a repetitive and persistent pattern of behavior violating social rules or norms or violating the basic rights of others.","Fatigue;Insomnia;Anxious mood;Depressed mood;Pain","","<20;1;20s;2;30s;0;40s;0;50s;0;60s;0;70+;0","Female=67%;Male=33%",2448
"2449","Hyperprolactinemia","Hyperprolactinemia is a condition characterized by overproduction of prolactin, which is a hormone stimulating milk production in females. This increase in prolactin can be caused by a tumor, pregnancy, or certain medications. Treatment depends on the cause of the condition.","Depressed mood;Fatigue;Pain;Anxious mood;Insomnia","Cabergoline;Lorazepam","<20;0;20s;0;30s;2;40s;1;50s;4;60s;1;70+;1","Female=67%;Male=33%",2449
"2450","Atrial septal aneurysm","Atrial septal aneurysm is a rare abnormality of the heart that is usually detected during routine cardiac check up, or evaluation of ischemic stroke. It may be an isolated issue or occur with other cardiac defects.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Hydrocodone-Acetaminophen","<20;0;20s;0;30s;0;40s;1;50s;0;60s;0;70+;2","Female=100%;Male=0%",2450
"2451","Chronic traumatic encephalopathy","Chronic Traumatic Encephalopathy (CTE) is characterized as the progressive degenerative disease of the brain. It is more prevalent in athletes with a history of repetitive brain trauma.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;4;50s;2;60s;1;70+;0","Female=38%;Male=63%",2451
"2452","Hypothyroid Myopathy","Myopathy is a general term used to indicate muscle weakness due to dysfunction of muscle fiber. Myopathy can occur with hypothyroidism due to endocrine abnormalities. ","Anxious mood;Fatigue;Insomnia;Pain;Depressed mood","Electro Therapeutic Point Stimulation (ETPS);Oxycodone-acetaminophen","<20;0;20s;0;30s;0;40s;0;50s;1;60s;0;70+;0","Female=100%;Male=0%",2452
"2453","Disseminated Histoplasmosis","Histoplasmosis is a disease caused when airborne spores of the fungus Histoplasma capsulatum are inhaled into the lungs. The most severe form is disseminated histoplasmosis, this can affect all areas of the body, and if untreated can be fatal.","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","","<20;0;20s;0;30s;0;40s;0;50s;0;60s;1;70+;0","Female=100%;Male=0%",2453
"2454","Mucha Habberman disease","Mucha Habermann disease, also known as pityriasis lichenoides et varioliformis acuta or PLEVA, is a rare skin disorder. Symptoms usually appear suddenly and often affect children or young adults. Lesions may resolve in a couple weeks without treatment but may recur over the course of years.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;1;50s;0;60s;0;70+;0","Proportion=Diagnosis status;NA=# of patients",2454
"2455","Coma","A coma is a medical event characterized as a deep prolonged unconsciousness that may be a result of trauma, bleeding, swelling, lack of oxygenation, infection, or seizures. Alternatively, it may be medically induced or a type of purposeful deep unconscious state to protect the brain.","Pain;Fatigue;Depressed mood;Anxious mood;Insomnia","Acetaminophen (Paracetamol);Alprazolam;Amphetamine-Dextroamphetamine;Cannabis;Escitalopram;Multivitamins;Naproxen Prescription","<20;0;20s;2;30s;4;40s;8;50s;11;60s;2;70+;1","Female=69%;Male=31%",2455
"2456","Moyamoya Disease","Moyamoya disease is a rare blood vessel disorder in which a ring of blood vessels at the base of your brain (the circle of Willis) and the uppermost (distal) segments of the arteries supplying the brain are narrowed, constricting the vessel, causing blood flow to your brain to become reduced.","","","NA","NA=NA;NA=NA",2456
"2457","Functional natural killer deficiency","Functional Natural Killer Deficiency (type of white blood cell) occurs when there are natural killer cells are present, but do not properly function.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Oxycodone","<20;0;20s;0;30s;0;40s;1;50s;0;60s;0;70+;0","Female=100%;Male=0%",2457
"2458","Atrial myxoma","An atrial myxoma is a non-cancerous growth located in the upper left or right side of the heart.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","","<20;0;20s;0;30s;0;40s;0;50s;1;60s;2;70+;0","Female=100%;Male=0%",2458
"2459","Scleredema","Scleredema is a skin disease characterized as a hardening and thickening of the skin. It may be associated with chronic conditions, infection, or blood dyscrasia.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;1;60s;0;70+;0","Female=100%;Male=0%",2459
"2460","Myrhe syndrome","Myrhe Syndromeis a developmental disorder causing a range of signs and symptoms in those affected. Intellectual disability can vary. Speech, behavior, hearing, and vision may also be affected, causing varying levels of disability.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;1;20s;0;30s;0;40s;0;50s;0;60s;0;70+;0","Female=100%;Male=0%",2460
"2461","Slow transit constipation","Slow Transit Constipation is the delayed passage of stool through the large intestine. It is accompanied by the inability to feel the urge to defecate.","Fatigue;Pain;Insomnia;Depressed mood;Anxious mood","Tramadol;Biofeedback machine;Bisacodyl;Celecoxib;Chiropractic Therapy;Gabapentin;Mirtazapine;Nabilone;Tempur-pedic Mattress;Therapeutic brace","<20;1;20s;6;30s;5;40s;6;50s;11;60s;10;70+;3","Female=83%;Male=17%",2461
"2462","Retropharyngeal abscess","A retropharyngeal abscess is a collection of pus (bacterial infection) that forms in the back of the throat. Some symptoms include swelling, pain and inflammation. It can be life threatening if the abscess compromises the airway.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;1;60s;0;70+;0","Female=100%;Male=0%",2462
"2463","Coronary artery fistula","Coronary artery fistula is an abnormal connection between one of the coronary arteries and a heart chamber or another blood vessel.","Anxious mood;Fatigue;Pain;Depressed mood;Insomnia","","<20;0;20s;1;30s;0;40s;0;50s;0;60s;0;70+;0","Female=100%;Male=0%",2463
"2464","Segawa syndrome","Segawa syndrome is a rare genetic disorder due to mutations of the GCH-1 gene. It is characterized by an uncoordinated manner of walking and involuntary muscle contractions (dystonia) which are usually worse in the afternoon and night than in the morning, which is characteristic of Segawa syndrome.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Carbidopa-Levodopa","<20;0;20s;0;30s;1;40s;0;50s;1;60s;0;70+;0","Female=50%;Male=50%",2464
"2465","Prothrombin 20210 mutation thrombophilia","Prothrombin 20210 Mutation Thrombophilia is a condition in which a person forms blood clots more than normal due to the due to a genetic mutation of the F2 gene (G20210A) .","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Pregabalin","<20;0;20s;0;30s;0;40s;1;50s;3;60s;1;70+;0","Female=80%;Male=20%",2465
"2466","Pulmonary sequestration","Pulmonary sequestration is the abnormal growth of tissue within the lung that has no respiratory function. There are two types of sequestrations, intralobar and extralobar forms. Depending on the size and location, a sequestration may cause other health complications.","Depressed mood;Pain;Anxious mood;Fatigue;Insomnia","","<20;0;20s;0;30s;0;40s;1;50s;0;60s;0;70+;0","Female=0%;Male=100%",2466
"2467","Bladder ulcer","A bladder ulcer is a break in the lining of the bladder.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Clonazepam;Hydromorphone;Medical marijuana;Naproxen Prescription;Wheelchair (powered)","<20;0;20s;0;30s;0;40s;1;50s;0;60s;0;70+;0","Female=0%;Male=100%",2467
"2468","Eales Disease","Eales disease is a rare disorder characterized by blurred vision, inflammation of the veins in the retina, changes in blood flow in the retina, and the creation of new blood vessels in the retina.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","","<20;0;20s;0;30s;1;40s;0;50s;0;60s;0;70+;0","Female=100%;Male=0%",2468
"2469","Adrenal crisis","An adrenal crisis occurs when the adrenal glands do not produce enough cortisol.  Cortisol is an important hormone that regulates important factors such as blood sugar, blood pressure, immune response, etc. Some symptoms may include dizziness, weakness, abdominal pain, nausea and vomiting.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Gabapentin;Multivitamins","<20;0;20s;1;30s;1;40s;1;50s;2;60s;2;70+;1","Female=88%;Male=13%",2469
"2470","Patulous eustachian tube","The eustachian tube is a small passageway that connects the upper throat/back of the nose to the middle ear. It may be open or close like a valve to allow air flow and equalize pressure. With a patulous eustachian tube the valve is open for extended periods of time.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","Ibuprofen;
more
","<20;0;20s;0;30s;1;40s;1;50s;0;60s;1;70+;0","Female=100%;Male=0%",2470
"2471","Signet ring cell gastric carcinoma","Signet ring cell gastric carcinoma is a specific type of stomach cancer arising from the glandular cells lining the stomach.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","","<20;0;20s;0;30s;0;40s;0;50s;1;60s;0;70+;0","Female=50%;Male=50%",2471
"2472","Hypothalamic obesity","Hypothalamic obesity is a disorder in which damage done to the hypothalamus  disturbs its ability to regulate hunger and therefore, promotes excessive eating (hyperphagia) and weight gain.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;1;20s;0;30s;0;40s;1;50s;2;60s;0;70+;0","Female=75%;Male=25%",2472
"2473","Acute motor sensory axonal neuropathy","Acute motor-sensory axonal neuropathy (AMSAN) is a motor-sensory, axonal form of Guillain-Barré syndrome. Some symptoms include, acute onset of weakness in the limbs, loss of deep tendon reflexes, and sensory symptoms.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","Zolpidem","<20;0;20s;1;30s;0;40s;1;50s;2;60s;5;70+;0","Female=56%;Male=44%",2473
"2474","Macular hole","A macular hole is an opening or small break in the macula of the eye. It is located in the center of the eye’s light-sensitive tissue called the retina. The macula provides sharp, central vision necessary for functions such as reading or driving.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Albuterol;Duloxetine;Fluoxetine;Gabapentin;Morphine;Naproxen Prescription;Oxycodone","<20;0;20s;0;30s;0;40s;1;50s;4;60s;4;70+;1","Female=100%;Male=0%",2474
"2475","Myopathy","Myopathy is a general term used to indicate muscle weakness due to dysfunction of muscle fiber. Myopathy can be inherited or acquired.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Amphetamine-Dextroamphetamine;Clonazepam;Codeine;Electro Therapeutic Point Stimulation (ETPS);Magnesium Glycinate;Morphine;Oxycodone-acetaminophen","<20;2;20s;0;30s;4;40s;7;50s;4;60s;2;70+;0","Female=67%;Male=33%",2475
"2476","Dural arteriovenous fistual","A dural arteriovenous fistula is a vascular abnormality of the blood vessels in the dural layer of the brain. The dura surrounds the brain and the spinal cord and is responsible for keeping in the cerebrospinal fluid in.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;1;30s;0;40s;1;50s;0;60s;0;70+;0","Female=100%;Male=0%",2476
"2477","Static encephalopathy","Static encephalopathy is permanent unchanging brain damage.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","Oxycodone;
more
;Phentermine;Physical Therapy;Speech / Language Therapy;Tramadol","<20;0;20s;3;30s;0;40s;3;50s;0;60s;1;70+;0","Female=57%;Male=43%",2477
"2478","Angiocentric glioma","Angiocentric glioma is a type of slow growing brain tumor.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;1;20s;0;30s;1;40s;0;50s;0;60s;0;70+;0","Female=50%;Male=50%",2478
"2479","Mucous cyst","A mucous cyst is typically a benign fluid filled sac that develops in the mouth region. A mucous cyst that develops on the floor of the mouth is called a ranula, a cyst that develops on the gum is called an epulis.","Anxious mood;Pain;Fatigue;Depressed mood;Insomnia","Diphenhydramine;Gabapentin;Ibuprofen","<20;0;20s;0;30s;3;40s;1;50s;0;60s;0;70+;0","Female=100%;Male=0%",2479
"2480","Beckwith-Wiedemann syndrome","Beckwith-Wiedemann syndrome is a pediatric overgrowth disorder.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;1;20s;0;30s;0;40s;0;50s;0;60s;0;70+;0","Female=0%;Male=100%",2480
"2481","Broken finger","A fracture is a partial or complete break in a bone. A broken finger usually results from traumatic injury such as crush injuries, sports injuries, improper use of tools, falls, etc.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Duloxetine;Meloxicam;Naproxen Prescription;Oxycodone-acetaminophen;Tramadol","<20;0;20s;2;30s;4;40s;1;50s;2;60s;2;70+;1","Female=67%;Male=33%",2481
"2482","Chromosome 16p13.11 Duplication","Chromosome 16p13.11 duplication is a rare chromosomal abnormality. Signs and symptoms of the abnormality may be different for every individual affected.","Anxious mood;Fatigue;Depressed mood;Insomnia;Pain","","<20;17;20s;3;30s;6;40s;3;50s;1;60s;0;70+;0","Female=60%;Male=40%",2482
"2483","Morvan's syndrome","Morvan's syndrome is characterized by involuntary and spontaneous muscle activity, muscle cramping, excessive perspiration and other neurological symptoms i.e. personality changes, insomnia, and hallucinations.","Anxious mood;Fatigue;Insomnia;Pain;Depressed mood","Clonazepam;Cortisone;Ibuprofen;Naproxen OTC","<20;0;20s;0;30s;1;40s;5;50s;4;60s;2;70+;0","Female=46%;Male=54%",2483
"2484","Shrinking lung syndrome","Shrinking lung syndrome is rare respiratory complication associated with systemic lupus erythematosus. Symptoms include shortness of breath and chest pain.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;1;30s;0;40s;1;50s;0;60s;0;70+;0","Female=100%;Male=0%",2484
"2485","Chronic Ankle Instability","Chronic ankle instability is a condition that can develop after repeated ankle sprains. It is characterized by a 'giving way' of the outer side of the ankle. It usually occurs after a sprain has incorrectly healed. Treatment may include physical therapy, bracing, and rarely surgery.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Alprazolam;Aripiprazole;
more
;Escitalopram;Oxycodone-acetaminophen;Venlafaxine","<20;0;20s;0;30s;1;40s;0;50s;0;60s;0;70+;0","Female=100%;Male=0%",2485
"2486","Coronavirus","Coronaviruses are types of viruses that can infection humans and animals. Five coronaviruses can infect humans and typically cause mild to moderate upper respiratory illness. Many people will have a mild infection although coronaviruses can also cause severe infections, such as SARS and MERS.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Hydroxychloroquine;Zolpidem","NA","NA=NA;NA=NA",2486
"2487","Ruptured trachea","A tear may occur in the trachea commonly due to infections or traumas. A ruptured trachea may need to be repaired with surgery.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;1;50s;0;60s;1;70+;0","Female=100%;Male=0%",2487
"2488","Uvulitis","The uvula is located at the back of throat, it is the small-elongated hanging structure. It can become inflamed and swollen due to an infection or trauma.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;0;60s;0;70+;1","Female=100%;Male=0%",2488
"2489","Mesenteric adenitis","Mesenteric adenitis or mesenteric lymphadenitis is the inflammation of abdominal lymph nodes located at the right lower side of the abdomen.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;1;30s;1;40s;0;50s;0;60s;0;70+;0","Female=100%;Male=0%",2489
"2490","Reactive thrombocytosis","Reactive thrombocytosis is an abnormal increase in the number of platelets. It may be caused by surgery, an infection, or trauma, among other causes. Typically the thrombocyte count returns to normal following resolution of the other condition. It is rarely associated with blood clots.","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","Tramadol;Acetaminophen (Paracetamol);Alprazolam;Amphetamine-Dextroamphetamine;Aripiprazole;Aspirin;Clonazepam;Cyclobenzaprine;Diclofenac;Ferrous Fumarate","<20;0;20s;0;30s;2;40s;1;50s;0;60s;0;70+;0","Female=100%;Male=0%",2490
"2491","Chemotherapy-induced Pulmonary Fibrosis","Chemotherapy is used for certain types of cancers. An untoward effect of chemo may be pulmonary complications and certain respiratory diseases. ","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;0;60s;1;70+;0","Female=100%;Male=0%",2491
"2492","Autoimmune atrophic gastritis","Autoimmune atrophic gastritis is characterized by megaloblastic anemia, anorexia with weight loss, neurologic changes such as numbness and paresthesias. Treatment usually focuses on vitamin B-12 replacement to prevent problems with pernicious anemia.","Fatigue;Insomnia;Anxious mood;Pain;Depressed mood","Dronabinol;
more
;Methylphenidate;Oxycodone ER;Pregabalin","<20;0;20s;1;30s;3;40s;2;50s;3;60s;1;70+;1","Female=82%;Male=18%",2492
"2493","New daily persistent headache","New daily persistent headache (NDPH) is a type of chronic headache that develops in individuals without a prior history of headache. The headache typically reaches its peak within 3 days and then persists for at least 3 months. Treatment with triptans is used with the active headache.","Pain;Fatigue;Anxious mood;Insomnia;Depressed mood","Gabapentin;Hydroxyzine;Buspirone;Memantine;Tramadol;Aerobic and Weight Resistance Exercise;Almotriptan;Amitriptyline;Bupropion;Butalbital-acetaminophen-caffeine","<20;3;20s;10;30s;11;40s;12;50s;4;60s;5;70+;1","Female=68%;Male=32%",2493
"2494","Placenta percreta","Placenta percreta is a severe form of placenta accreta. The placenta penetrates the full thickness of the uterine wall and may invade surrounding organs, such as the bladder. It is a rare but potentially life-threatening obstetric complication.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;1;40s;0;50s;0;60s;0;70+;0","Female=100%;Male=0%",2494
"2495","Typhus","Typhus is a bacterial disease caused by Rickettsia typhi or Rickettsia prowazekii. Symptoms can include abdominal pain, rash, high fever, joint pain, etc. Treatment includes doxycycline and tetracycline. Endemic typhus has a high mortality rate without treatment while murine typhus does not.","Anxious mood;Fatigue;Insomnia;Pain;Depressed mood","","<20;0;20s;0;30s;3;40s;0;50s;1;60s;0;70+;0","Female=75%;Male=25%",2495
"2496","Ingrown hair","An ingrown hair is a curled hair grown back into the skin.","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","","<20;0;20s;1;30s;0;40s;2;50s;0;60s;0;70+;0","Female=100%;Male=0%",2496
